,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,3.082016468048096,4.645043945312524,175.6717242618298
1,2014,1,1,1,30,0,0,0,2.9652070999145512,4.532647705078149,170.5278210517487
2,2014,1,1,2,30,0,0,0,2.6858506202697754,4.461785888671899,156.75226415684895
3,2014,1,1,3,30,0,0,0,2.1943368911743164,4.375604248046899,143.04122234408737
4,2014,1,1,4,30,0,0,0,1.6758935451507568,4.244805908203149,129.4422943804784
5,2014,1,1,5,30,0,0,0,1.231733322143555,4.048089599609399,116.01802766556642
6,2014,1,1,6,30,0,0,0,0.9344284534454346,3.9986511230468977,102.8569324214512
7,2014,1,1,7,30,0,0,0,0.8525127172470093,4.796563720703149,90.08754993036189
8,2014,1,1,8,30,47,47,0,0.9706451296806335,6.858331298828148,77.9338711389373
9,2014,1,1,9,30,219,178,104,1.347928166389465,10.19524536132815,66.73053922959016
10,2014,1,1,10,30,339,268,131,1.979897379875183,13.68779907226565,57.05795492306729
11,2014,1,1,11,30,611,246,566,2.4038991928100586,15.96660766601565,49.82599994226859
12,2014,1,1,12,30,581,338,349,2.52132511138916,17.091088867187526,46.20219439189599
13,2014,1,1,13,30,639,271,540,2.5580954551696777,17.415277099609398,47.031110469371264
14,2014,1,1,14,30,454,306,239,2.50234603881836,17.101434326171898,52.10019919782164
15,2014,1,1,15,30,307,235,144,2.3276026248931885,16.254205322265648,60.34719433262534
16,2014,1,1,16,30,253,118,408,1.9254943132400515,14.9997497558594,70.66299417209198
17,2014,1,1,17,30,74,55,140,1.4488446712493896,13.9062438964844,82.2659974893847
18,2014,1,1,18,30,0,0,0,1.10749089717865,13.33452758789065,94.67801970557548
19,2014,1,1,19,30,0,0,0,0.9184446334838868,12.8928161621094,107.60790210760977
20,2014,1,1,20,30,0,0,0,0.920653522014618,12.3712097167969,120.87923769400692
21,2014,1,1,21,30,0,0,0,1.0848017930984497,11.846765136718775,134.37799628471885
22,2014,1,1,22,30,0,0,0,1.3477084636688232,11.362817382812526,148.02678706841195
23,2014,1,1,23,30,0,0,0,1.6513111591339111,10.910485839843775,161.76951096635742
24,2014,1,2,0,30,0,0,0,1.938647985458374,10.504602050781275,175.56160251105763
25,2014,1,2,1,30,0,0,0,2.22378921508789,9.961694335937525,170.6319340519709
26,2014,1,2,2,30,0,0,0,2.545819997787476,9.26494750976565,156.85174763807663
27,2014,1,2,3,30,0,0,0,2.8524274826049805,8.652185058593773,143.13529129495373
28,2014,1,2,4,30,0,0,0,3.071723937988281,8.160333251953148,129.53010605842596
29,2014,1,2,5,30,0,0,0,3.2163610458374023,7.689477539062523,116.09843175535057
30,2014,1,2,6,30,0,0,0,3.3319945335388184,7.279107666015648,102.92829435068505
31,2014,1,2,7,30,0,0,0,3.300877571105957,8.004144287109398,90.14740978903501
32,2014,1,2,8,30,133,77,269,3.2941038608551025,10.10942993164065,77.97888855197225
33,2014,1,2,9,30,93,93,0,3.5053691864013667,11.999230957031275,66.7554689022747
34,2014,1,2,10,30,69,69,0,3.6024699211120605,13.209558105468775,57.05558892386368
35,2014,1,2,11,30,114,114,0,3.4575595855712886,14.135461425781275,49.788116839687675
36,2014,1,2,12,30,402,346,81,3.294522762298584,14.680505371093775,46.124407294103534
37,2014,1,2,13,30,760,74,1003,3.3102059364318848,14.642114257812526,46.91943627092297
38,2014,1,2,14,30,676,70,982,3.51401686668396,13.93633422851565,51.968554023688405
39,2014,1,2,15,30,528,62,936,3.847978591918945,12.729577636718775,60.20782405070546
40,2014,1,2,16,30,309,62,740,4.149382591247559,11.342797851562526,70.52282234549983
41,2014,1,2,17,30,76,55,153,4.3817996978759775,10.2285095214844,82.12818383572505
42,2014,1,2,18,30,0,0,0,4.571798801422119,9.393701171875025,94.54380860517851
43,2014,1,2,19,30,0,0,0,4.61249589920044,8.428613281250023,107.47777073618998
44,2014,1,2,20,30,0,0,0,4.6446638107299805,7.230096435546898,120.75332320391588
45,2014,1,2,21,30,0,0,0,4.7745771408081055,6.115136718750023,134.25632318465605
46,2014,1,2,22,30,0,0,0,4.835325717926025,5.245660400390649,147.90934514396332
47,2014,1,2,23,30,0,0,0,4.8064165115356445,4.416864013671899,161.65620695204188
48,2014,1,3,0,30,0,0,0,4.742707252502441,3.4909606933593977,175.45073408294058
49,2014,1,3,1,30,0,0,0,4.641507625579834,2.5488220214843977,170.73356182516466
50,2014,1,3,2,30,0,0,0,4.2846412658691415,1.5471740722656475,156.94894688460613
51,2014,1,3,3,30,0,0,0,3.6960744857788086,0.5704589843750227,143.22683173445523
52,2014,1,3,4,30,0,0,0,3.2432765960693364,-0.12048950195310225,129.61504505501378
53,2014,1,3,5,30,0,0,0,2.95196533203125,-0.5904602050781023,116.17555762640465
54,2014,1,3,6,30,0,0,0,2.7312769889831543,-0.7716125488281023,102.99591169985945
55,2014,1,3,7,30,0,0,0,2.528406143188477,0.2949157714843977,90.20299144602157
56,2014,1,3,8,30,172,47,602,2.4627223014831543,2.8052917480468977,78.01900074775384
57,2014,1,3,9,30,404,61,870,2.4739952087402344,5.649011230468773,66.7747785139201
58,2014,1,3,10,30,590,69,958,2.3672919273376465,8.293054199218773,57.04683295330782
59,2014,1,3,11,30,720,74,1000,2.197519302368164,10.591577148437525,49.74315712162257
60,2014,1,3,12,30,782,75,1017,2.0530118942260738,12.411462402343775,46.03925909610384
61,2014,1,3,13,30,770,74,1016,2.0164031982421875,13.7091003417969,46.80084189755839
62,2014,1,3,14,30,687,70,997,2.0348677635192867,14.2990661621094,51.831051446225516
63,2014,1,3,15,30,539,63,953,1.966951847076416,13.724755859375026,60.06384393714097
64,2014,1,3,16,30,341,49,867,1.8408215045928955,12.435327148437526,70.37917456137338
65,2014,1,3,17,30,125,34,652,1.977230668067932,10.911584472656275,81.9878348989656
66,2014,1,3,18,30,0,0,0,2.400509119033813,9.550866699218775,94.40782743529348
67,2014,1,3,19,30,0,0,0,2.786970853805542,8.615197753906273,107.34649540613441
68,2014,1,3,20,30,0,0,0,3.0070080757141118,7.648095703125023,120.62678310245977
69,2014,1,3,21,30,0,0,0,3.0853672027587886,6.726495361328148,134.13445310495092
70,2014,1,3,22,30,0,0,0,3.1028685569763184,6.050561523437523,147.7920401572914
71,2014,1,3,23,30,0,0,0,3.1445651054382324,5.678338623046898,161.54319321019813
72,2014,1,4,0,30,0,0,0,3.3071448802948,5.490136718750024,175.33890584754704
73,2014,1,4,1,30,0,0,0,3.580530166625977,5.302270507812524,170.83233687795936
74,2014,1,4,2,30,0,0,0,3.7894599437713614,4.997064208984399,157.04366656494415
75,2014,1,4,3,30,0,0,0,3.837505340576172,4.584954833984399,143.31569311632686
76,2014,1,4,4,30,0,0,0,3.796541929244995,4.149865722656274,129.69698550020485
77,2014,1,4,5,30,0,0,0,3.731202125549317,3.755914306640648,116.24929806625721
78,2014,1,4,6,30,0,0,0,3.69199275970459,3.623101806640648,103.05969419872831
79,2014,1,4,7,30,0,0,0,3.565575361251831,5.115655517578149,90.25422236294683
80,2014,1,4,8,30,190,48,686,3.273343563079834,8.230187988281273,78.05415350804212
81,2014,1,4,9,30,415,61,897,3.585578441619873,11.81524047851565,66.78843772513952
82,2014,1,4,10,30,604,69,982,4.2909884452819815,14.67937622070315,57.03167630042801
83,2014,1,4,11,30,735,74,1021,4.585062980651856,16.217614746093773,49.69113198644866
84,2014,1,4,12,30,795,76,1035,4.645967483520508,17.135858154296898,45.946781223584566
85,2014,1,4,13,30,782,75,1031,4.5282487869262695,17.522698974609398,46.675381710705096
