,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,0.09008122980594636,-2.1188720703124773,168.14588259755874
1,1,2014,1,1,1,30,0,0,0,0.08597207069396973,-2.6804260253906023,173.16883057410882
2,2,2014,1,1,2,30,0,0,0,0.0773608535528183,-3.017736816406228,162.25285090984394
3,3,2014,1,1,3,30,0,0,0,0.0997646227478981,-3.193395996093728,149.3117335386076
4,4,2014,1,1,4,30,0,0,0,0.20249506831169128,-3.3255676269531023,136.20582495356308
5,5,2014,1,1,5,30,0,0,0,0.3335929214954376,-3.3978942871093523,123.19123966745951
6,6,2014,1,1,6,30,0,0,0,0.4569119215011597,-3.4196533203124773,110.40442522928316
7,7,2014,1,1,7,30,0,0,0,0.5348837375640869,-2.2907775878906023,97.98962120917898
8,8,2014,1,1,8,30,52,21,464,0.4674999713897705,2.0870605468750227,86.14290392878222
9,9,2014,1,1,9,30,256,44,827,0.3128885328769684,7.050286865234398,75.16576562343947
10,10,2014,1,1,10,30,449,55,950,0.2496193647384644,10.0585876464844,65.51352737044951
11,11,2014,1,1,11,30,595,61,1004,0.28275415301322937,12.275354003906276,57.87094619311655
12,12,2014,1,1,12,30,681,64,1027,0.3424365520477295,13.766748046875026,53.12448120121731
13,13,2014,1,1,13,30,698,65,1030,0.3968122005462647,14.512384033203151,52.07857000421999
14,14,2014,1,1,14,30,646,63,1015,0.4268617033958435,14.526361083984401,54.94623780879699
15,15,2014,1,1,15,30,529,59,975,0.4194057583808899,13.726342773437526,61.176604453192546
16,16,2014,1,1,16,30,358,50,892,0.4195438027381897,11.549523925781276,69.86937324577715
17,17,2014,1,1,17,30,154,36,695,0.4510396420955658,7.404931640625023,80.21837358399667
18,18,2014,1,1,18,30,0,0,0,0.4924315512180328,3.8393188476562727,91.6530591220526
19,19,2014,1,1,19,30,0,0,0,0.5753300189971924,2.4501586914062727,103.79769650001472
20,20,2014,1,1,20,30,0,0,0,0.7002297639846802,1.7403503417968975,116.40929336100989
21,21,2014,1,1,21,30,0,0,0,0.8135313987731934,1.3264709472656475,129.32022432047313
22,22,2014,1,1,22,30,0,0,0,0.898108184337616,1.2292114257812727,142.3961494484939
23,23,2014,1,1,23,30,0,0,0,0.9508693814277648,1.3692871093750227,155.47213860071483
24,24,2014,1,2,0,30,0,0,0,0.968713641166687,1.4680419921875227,168.00869332510524
25,25,2014,1,2,1,30,0,0,0,0.9693921804428101,1.2689453125000227,173.14097484863262
26,26,2014,1,2,2,30,0,0,0,0.9797134399414062,0.9394165039062728,162.31620317371863
27,27,2014,1,2,3,30,0,0,0,1.0044001340866089,0.7247253417968977,149.38605306837997
28,28,2014,1,2,4,30,0,0,0,1.03045392036438,0.5916381835937727,136.27989423507375
29,29,2014,1,2,5,30,0,0,0,1.0540010929107666,0.4525695800781477,123.26101255910488
30,30,2014,1,2,6,30,0,0,0,1.0747259855270386,0.28444824218752274,110.4671834216086
31,31,2014,1,2,7,30,0,0,0,1.088326930999756,0.5134521484375227,98.04265448664944
32,32,2014,1,2,8,30,52,21,464,1.0652024745941162,2.3959289550781477,86.18288935951993
33,33,2014,1,2,9,30,257,44,831,1.0383532047271729,5.871179199218773,75.18836438484159
34,34,2014,1,2,10,30,452,55,957,1.0785748958587646,9.17522583007815,65.51305212235513
35,35,2014,1,2,11,30,601,61,1014,1.1009927988052368,11.523461914062526,57.840931260280286
