,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,1.9307268857955933,5.185174560546899,175.98195375322345
1,2014,1,1,1,30,0,0,0,1.6231969594955444,5.049310302734399,169.73520832110262
2,2014,1,1,2,30,0,0,0,1.1743816137313845,5.087487792968774,155.94842856033992
3,2014,1,1,3,30,0,0,0,0.6423821449279785,5.133843994140649,142.1774221089595
4,2014,1,1,4,30,0,0,0,0.2142062783241272,5.092889404296899,128.5054466098779
5,2014,1,1,5,30,0,0,0,0.20459581911563876,5.067834472656274,114.99870898909936
6,2014,1,1,6,30,0,0,0,0.5067877173423767,5.209497070312524,101.74505730775
7,2014,1,1,7,30,5,4,7,0.7551079988479614,5.991448974609398,88.87273505104548
8,2014,1,1,8,30,140,91,213,0.8854686617851257,7.701379394531273,76.60059238381069
9,2014,1,1,9,30,317,177,336,0.9332667589187622,9.983728027343775,65.27055158750801
10,2014,1,1,10,30,468,255,375,1.2088091373443604,12.640649414062526,55.47847977048153
11,2014,1,1,11,30,682,196,729,1.5802457332611084,14.841699218750026,48.1813928178969
12,2014,1,1,12,30,623,322,422,1.7758469581604004,15.87297973632815,44.627080165053094
13,2014,1,1,13,30,533,362,245,1.8637014627456665,16.244439697265648,45.700142022050116
14,2014,1,1,14,30,356,304,82,1.832034707069397,16.305749511718773,51.10938258189945
15,2014,1,1,15,30,214,201,25,1.5843082666397097,15.84942016601565,59.684194003115685
16,2014,1,1,16,30,207,146,181,1.1619179248809814,14.65764770507815,70.27016662633912
17,2014,1,1,17,30,99,49,360,0.8319275379180908,13.18926391601565,82.08604182469409
18,2014,1,1,18,30,0,0,0,0.6915355920791626,12.344140625000026,94.66638265690905
19,2014,1,1,19,30,0,0,0,0.6446410417556763,12.0428405761719,107.73235717289236
20,2014,1,1,20,30,0,0,0,0.6757551431655884,11.700646972656275,121.11648018000756
21,2014,1,1,21,30,0,0,0,0.8148458003997803,11.441491699218775,134.7104802324787
22,2014,1,1,22,30,0,0,0,1.0208966732025146,11.29351196289065,148.43917267261043
23,2014,1,1,23,30,0,0,0,1.2247966527938845,11.09148559570315,162.23932062585678
24,2014,1,2,0,30,0,0,0,1.3806309700012207,10.8654724121094,175.9110573724285
25,2014,1,2,1,30,0,0,0,1.5080987215042114,10.603784179687525,169.8515623753104
26,2014,1,2,2,30,0,0,0,1.6358901262283323,10.2974792480469,156.05372331142442
27,2014,1,2,3,30,0,0,0,1.7043235301971436,9.9814392089844,142.27550428731917
28,2014,1,2,4,30,0,0,0,1.6858359575271606,9.61455688476565,128.59647403450936
29,2014,1,2,5,30,0,0,0,1.6606299877166748,9.23760375976565,115.08191235255049
30,2014,1,2,6,30,0,0,0,1.7105865478515625,9.163171386718775,101.81898448834318
31,2014,1,2,7,30,4,4,0,1.8207718133926392,9.841577148437525,88.93504269784314
32,2014,1,2,8,30,108,91,72,2.2324020862579346,11.134973144531275,76.64787722378057
33,2014,1,2,9,30,136,133,5,3.0902621746063232,12.258691406250026,65.29746882074724
34,2014,1,2,10,30,447,267,318,3.8061060905456543,12.679040527343775,55.47746722726034
35,2014,1,2,11,30,725,86,958,4.145315170288087,12.838952636718775,48.14364554957157
36,2014,1,2,12,30,391,345,64,4.380082130432129,12.868188476562526,44.54795194515977
37,2014,1,2,13,30,419,349,100,4.5773963928222665,12.298791503906275,45.5865315911126
38,2014,1,2,14,30,353,303,78,4.706779479980469,11.468286132812526,50.97638884714439
39,2014,1,2,15,30,412,211,395,4.6712799072265625,10.6208435058594,59.5444005350201
40,2014,1,2,16,30,191,148,125,4.570649147033691,9.515466308593775,70.13031965343467
41,2014,1,2,17,30,118,42,543,4.467977523803711,8.448571777343773,81.94908780305634
42,2014,1,2,18,30,0,0,0,4.480659484863281,7.762445068359398,94.53345207941666
43,2014,1,2,19,30,0,0,0,4.669337749481201,7.168206787109398,107.60391112670528
44,2014,1,2,20,30,0,0,0,4.706345558166504,6.285913085937523,120.99274488352788
45,2014,1,2,21,30,0,0,0,4.525736331939697,5.257073974609399,134.59173097709942
46,2014,1,2,22,30,0,0,0,4.473289489746094,4.465783691406274,148.32604673492438
47,2014,1,2,23,30,0,0,0,4.336695194244385,3.6292358398437727,162.13399509622874
48,2014,1,3,0,30,0,0,0,3.8874588012695312,2.6059204101562727,175.8402556248314
49,2014,1,3,1,30,0,0,0,3.479744434356689,1.8161254882812727,169.9669091539118
50,2014,1,3,2,30,0,0,0,3.1849617958068848,1.3528991699218975,156.15726440107125
51,2014,1,3,3,30,0,0,0,2.7946009635925293,0.8658691406250227,142.371378891392
52,2014,1,3,4,30,0,0,0,2.327766895294189,0.29812011718752274,128.6848605506171
53,2014,1,3,5,30,0,0,0,1.985851764678955,-0.08859863281247726,115.16202058545315
54,2014,1,3,6,30,0,0,0,1.7132328748703003,-0.19531860351560226,101.88931904414486
55,2014,1,3,7,30,8,6,59,1.4533748626708984,0.7278991699218977,88.99319886805857
56,2014,1,3,8,30,69,69,0,1.3046042919158936,2.9082885742187727,76.69036387925753
57,2014,1,3,9,30,288,188,239,1.2817745208740234,5.634362792968773,65.31884830382482
58,2014,1,3,10,30,385,283,179,1.276764154434204,8.301232910156273,55.47011556819221
59,2014,1,3,11,30,740,86,978,1.2529170513153076,10.716394042968775,48.09884008240469
60,2014,1,3,12,30,799,88,994,1.2269604206085205,13.019860839843775,44.46147688826252
61,2014,1,3,13,30,783,87,991,1.1645915508270264,14.69231567382815,45.466067684255584
