,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,1.2676060199737549,9.673120117187525,171.50140273907195
1,1,2014,1,1,1,30,0,0,0,1.3926024436950684,9.348291015625025,164.50513964390092
2,2,2014,1,1,2,30,0,0,0,1.5802803039550781,9.066674804687525,152.44348139482284
3,3,2014,1,1,3,30,0,0,0,1.8226661682128904,8.822351074218775,139.72648469230228
4,4,2014,1,1,4,30,0,0,0,2.0454907417297363,8.625177001953148,126.96334435731173
5,5,2014,1,1,5,30,0,0,0,2.1951971054077157,8.462030029296898,114.36646517062808
6,6,2014,1,1,6,30,0,0,0,2.3099470138549805,8.478173828125023,102.10006698106324
7,7,2014,1,1,7,30,0,0,0,2.482309579849243,10.164086914062525,90.35422677726856
8,8,2014,1,1,8,30,164,39,682,2.5435380935668945,13.461602783203151,79.41767964198871
9,9,2014,1,1,9,30,354,54,863,2.288607597351074,16.891900634765648,69.68599236164225
10,10,2014,1,1,10,30,509,63,943,2.0205855369567867,20.061334228515648,61.75973361484108
11,11,2014,1,1,11,30,610,67,980,1.9374058246612549,22.232598876953148,56.42154071411865
12,12,2014,1,1,12,30,646,69,992,1.9501521587371824,23.197473144531273,54.44764001824574
13,13,2014,1,1,13,30,614,67,983,2.071667194366455,23.243066406250023,56.196795921087634
14,14,2014,1,1,14,30,518,63,949,2.2692530155181885,22.380548095703148,61.34897139390178
15,15,2014,1,1,15,30,366,55,874,2.49235463142395,20.298730468750023,69.14057326700106
16,16,2014,1,1,16,30,178,40,706,2.802858829498291,16.909661865234398,78.78116243923353
17,17,2014,1,1,17,30,0,0,0,3.180251121520996,14.050378417968776,89.65835731570725
18,18,2014,1,1,18,30,0,0,0,3.5138468742370605,12.508111572265651,101.36353576760835
19,19,2014,1,1,19,30,0,0,0,3.7652924060821533,11.393212890625026,113.60414545348905
20,20,2014,1,1,20,30,0,0,0,3.924150228500366,10.681054687500025,126.1852691365515
21,21,2014,1,1,21,30,0,0,0,4.042491912841797,10.2903991699219,138.94156913348485
22,22,2014,1,1,22,30,0,0,0,4.122328758239746,10.05645141601565,151.66560572271192
23,23,2014,1,1,23,30,0,0,0,4.109410285949707,9.87688598632815,163.79300672423653
24,24,2014,1,2,0,30,0,0,0,4.005650520324707,9.739953613281275,171.41037556798508
25,25,2014,1,2,1,30,0,0,0,3.937277317047119,9.769311523437525,164.5399143871127
26,26,2014,1,2,2,30,0,0,0,3.9553470611572266,9.9608093261719,152.50532248624057
27,27,2014,1,2,3,30,0,0,0,4.004118919372559,10.093713378906275,139.79310965502012
28,28,2014,1,2,4,30,0,0,0,4.1025390625,10.060632324218775,127.0280216477801
29,29,2014,1,2,5,30,0,0,0,4.261518955230713,9.908532714843775,114.42557281450979
30,30,2014,1,2,6,30,0,0,0,4.463367938995361,9.8682800292969,102.15059579591215
31,31,2014,1,2,7,30,0,0,0,4.589115619659424,11.184716796875025,90.39285302695437
32,32,2014,1,2,8,30,166,39,693,4.3088250160217285,14.042840576171901,79.4404177381266
33,33,2014,1,2,9,30,357,54,871,3.7017083168029785,17.712609863281273,69.68766840055585
34,34,2014,1,2,10,30,512,63,949,3.2887210845947266,21.684899902343773,61.734464844294
35,35,2014,1,2,11,30,613,67,985,2.9579524993896484,24.465264892578148,56.36449436402145
36,36,2014,1,2,12,30,649,69,995,2.4874255657196045,25.708673095703148,54.3585253385869
37,37,2014,1,2,13,30,617,67,984,1.9454963207244875,25.956018066406273,56.08190231023279
38,38,2014,1,2,14,30,520,63,949,1.3818970918655396,25.233422851562523,61.21809328894699
39,39,2014,1,2,15,30,369,55,875,1.0474495887756348,23.276116943359398,69.00217916413845
40,40,2014,1,2,16,30,180,41,708,1.2168935537338257,20.138635253906273,78.64057689992136
41,41,2014,1,2,17,30,0,0,0,1.5654674768447876,17.686608886718773,89.51851994033217
42,42,2014,1,2,18,30,0,0,0,1.6061272621154783,16.521783447265648,101.22524520497316
43,43,2014,1,2,19,30,0,0,0,1.358454704284668,15.599969482421901,113.46790093697932
44,44,2014,1,2,20,30,0,0,0,0.9314798712730408,14.805108642578151,126.05072840180205
45,45,2014,1,2,21,30,0,0,0,0.4645748436450958,14.107873535156276,138.80768586153317
46,46,2014,1,2,22,30,0,0,0,0.27942222356796265,13.501947021484401,151.53008929203483
47,47,2014,1,2,23,30,0,0,0,0.4612386226654053,12.982232666015651,163.65199468341473
48,48,2014,1,3,0,30,0,0,0,0.7306853532791138,12.516809082031276,171.3106898555671
49,49,2014,1,3,1,30,0,0,0,0.993195116519928,12.155877685546901,164.56804968360194
50,50,2014,1,3,2,30,0,0,0,1.3276410102844238,11.929254150390651,152.56240016550709
51,51,2014,1,3,3,30,0,0,0,1.6529502868652344,11.730859375000026,139.855452325517
52,52,2014,1,3,4,30,0,0,0,1.7943160533905032,11.519769287109401,127.0884345756056
53,53,2014,1,3,5,30,0,0,0,1.741302490234375,11.305291748046901,114.48021660523077
54,54,2014,1,3,6,30,0,0,0,1.6124097108840942,11.265130615234401,102.1963235932425
55,55,2014,1,3,7,30,0,0,0,1.5033750534057615,12.929193115234401,90.42626697503474
56,56,2014,1,3,8,30,163,39,676,1.374776005744934,16.385003662109398,79.45738023096908
57,57,2014,1,3,9,30,352,54,857,1.3086724281311035,19.918603515625023,69.68297019885453
58,58,2014,1,3,10,30,507,63,936,1.5599627494812012,22.608361816406273,61.702239869798575
59,59,2014,1,3,11,30,607,67,973,1.9758642911911009,24.163568115234398,56.300087891154604
60,60,2014,1,3,12,30,644,69,985,2.248566150665283,24.83626708984377,54.262046115074504
61,61,2014,1,3,13,30,613,67,975,2.311981201171875,24.692651367187523,55.96015664909214
62,62,2014,1,3,14,30,518,63,940,2.228477954864502,23.728265380859398,61.081254900904206
63,63,2014,1,3,15,30,367,55,864,2.140966892242432,21.720147705078148,68.8588301376196
64,64,2014,1,3,16,30,180,41,697,2.1399524211883545,18.641870117187523,78.49596560415681
65,65,2014,1,3,17,30,0,0,0,2.1088647842407227,16.234155273437526,89.37538938051705
66,66,2014,1,3,18,30,0,0,0,1.8987677097320559,15.126306152343776,101.08435944471785
67,67,2014,1,3,19,30,0,0,0,1.5867198705673218,14.229150390625026,113.32953952754394
68,68,2014,1,3,20,30,0,0,0,1.250424861907959,13.412835693359401,125.91438693777752
69,69,2014,1,3,21,30,0,0,0,0.8953865766525269,12.764276123046901,138.6721060672337
70,70,2014,1,3,22,30,0,0,0,0.8580589294433594,12.392327880859401,151.3925987137519
71,71,2014,1,3,23,30,0,0,0,1.077636957168579,12.286492919921901,163.50769275427518
72,72,2014,1,4,0,30,0,0,0,1.1456875801086426,12.212152099609401,171.20249196057986
73,73,2014,1,4,1,30,0,0,0,1.2809644937515259,12.075097656250026,164.58934632051015
74,74,2014,1,4,2,30,0,0,0,1.546773076057434,11.924768066406276,152.6145549279839
75,75,2014,1,4,3,30,0,0,0,1.743561863899231,11.770928955078151,139.91338311918636
76,76,2014,1,4,4,30,0,0,0,1.8401939868927,11.630822753906276,127.14447411899664
77,77,2014,1,4,5,30,0,0,0,1.8655495643615725,11.486260986328151,114.53030461236729
78,78,2014,1,4,6,30,0,0,0,1.9183051586151123,11.439782714843776,102.23717472820951
79,79,2014,1,4,7,30,0,0,0,2.090659141540528,12.163903808593776,90.45433481118454
80,80,2014,1,4,8,30,51,51,0,2.233106136322021,13.826837158203151,79.46850975919631
81,81,2014,1,4,9,30,178,147,90,2.0871248245239262,15.745355224609401,69.67186564401449
82,82,2014,1,4,10,30,288,217,149,1.8151355981826784,17.628808593750023,61.66305255780422
83,83,2014,1,4,11,30,416,250,297,1.790541172027588,19.439233398437523,56.22833820234211
84,84,2014,1,4,12,30,459,259,341,2.0063862800598145,21.074243164062523,54.158240664305715
85,85,2014,1,4,13,30,425,252,308,2.068522453308105,21.68932495117189,55.8316194551075
86,86,2014,1,4,14,30,338,217,249,1.9661362171173096,20.940393066406273,60.93853778178463
87,87,2014,1,4,15,30,293,114,493,1.8955771923065183,19.160974121093773,68.7106241647509
88,88,2014,1,4,16,30,100,78,110,1.66067373752594,16.458978271484398,78.34743858638936
89,89,2014,1,4,17,30,0,0,0,1.0992710590362549,14.375115966796901,89.2291129111771
90,90,2014,1,4,18,30,0,0,0,0.6684631109237671,13.521875000000026,100.94098476551608
91,91,2014,1,4,19,30,0,0,0,0.7722102403640747,13.046624755859401,113.18916325740726
92,92,2014,1,4,20,30,0,0,0,0.8873783349990845,12.678338623046901,125.77634004864792
