,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,0.886637806892395,14.236291503906275,173.483638211445
1,2014,1,1,1,30,0,0,0,0.8809280395507812,13.6696716308594,159.69973385430032
2,2014,1,1,2,30,0,0,0,0.8752082586288452,13.224328613281275,145.9273242611941
3,2014,1,1,3,30,0,0,0,0.8771893978118896,12.9567810058594,132.24620430392048
4,2014,1,1,4,30,0,0,0,0.8747478723526001,12.7983337402344,118.71669852245121
5,2014,1,1,5,30,0,0,0,0.8750749826431274,12.736474609375026,105.41887172634262
6,2014,1,1,6,30,0,0,0,0.8684718608856201,13.339501953125026,92.47105032794636
7,2014,1,1,7,30,95,63,181,0.8038542866706848,15.096765136718775,80.05853427281484
8,2014,1,1,8,30,69,69,0,0.7004982233047485,17.565850830078148,68.48961493695623
9,2014,1,1,9,30,321,249,137,0.6374752521514893,19.948663330078148,58.279215173718306
10,2014,1,1,10,30,249,237,19,0.61570143699646,21.712243652343773,50.272841584983645
11,2014,1,1,11,30,108,108,0,0.6336981654167175,22.774468994140648,45.65278887630668
12,2014,1,1,12,30,395,339,80,0.6800997257232666,23.192559814453148,45.467156711226956
13,2014,1,1,13,30,453,318,209,0.701312780380249,22.972711181640648,49.76583850635998
14,2014,1,1,14,30,429,221,388,0.6689515113830566,22.188165283203148,57.55011945479555
15,2014,1,1,15,30,232,164,178,0.5968501567840576,20.934167480468773,67.62228629517521
16,2014,1,1,16,30,110,71,205,0.5200924277305603,19.339959716796894,79.10691418910321
17,2014,1,1,17,30,0,0,0,0.4393602907657623,17.642877197265648,91.46719827391055
18,2014,1,1,18,30,0,0,0,0.42956674098968506,16.334313964843773,104.38223029512272
19,2014,1,1,19,30,0,0,0,0.5313515067100525,15.625146484375026,117.65946982468188
20,2014,1,1,20,30,0,0,0,0.6510919332504272,15.24895629882815,131.17659834515695
21,2014,1,1,21,30,0,0,0,0.7397724986076355,15.069726562500026,144.85145925373752
22,2014,1,1,22,30,0,0,0,0.8051285147666931,15.000390625000026,158.6234039584957
23,2014,1,1,23,30,0,0,0,0.8605344891548157,14.977502441406275,172.42475396032867
24,2014,1,2,0,30,0,0,0,0.908707320690155,14.9035583496094,173.60117490925182
25,2014,1,2,1,30,0,0,0,0.9420180916786194,14.698999023437526,159.804938162105
26,2014,1,2,2,30,0,0,0,0.9781113862991332,14.38298950195315,146.02569123406172
27,2014,1,2,3,30,0,0,0,1.0220706462860107,13.99273071289065,132.33789318966737
28,2014,1,2,4,30,0,0,0,1.051102876663208,13.5533386230469,118.8009729986856
29,2014,1,2,5,30,0,0,0,1.0686488151550293,13.1197448730469,105.49438521223945
30,2014,1,2,6,30,0,0,0,1.0585947036743164,13.2048278808594,92.53571470078472
31,2014,1,2,7,30,139,43,555,0.9975464940071106,14.935998535156275,80.10918341082447
32,2014,1,2,8,30,356,60,809,0.9343139529228209,18.286370849609398,68.52149902804838
33,2014,1,2,9,30,357,247,209,0.8967328071594238,21.597344970703148,58.28544427233103
34,2014,1,2,10,30,687,74,958,0.8130426406860352,23.710198974609398,50.24482696378197
35,2014,1,2,11,30,762,77,979,0.6825032234191895,24.395654296875023,45.58420400971386
36,2014,1,2,12,30,766,76,981,0.5814843773841858,24.107446289062523,45.361499752667754
37,2014,1,2,13,30,698,73,964,0.4897061884403229,23.635949707031273,49.63676495257352
38,2014,1,2,14,30,565,67,924,0.3563989102840424,23.132073974609398,57.411349903072576
39,2014,1,2,15,30,380,56,846,0.2504426836967468,22.002984619140648,67.481962669379
40,2014,1,2,16,30,168,31,719,0.3227193057537079,20.255456542968773,78.96878094278941
41,2014,1,2,17,30,0,0,0,0.4319255948066712,18.553491210937523,91.33275883277231
42,2014,1,2,18,30,0,0,0,0.5002085566520691,17.296044921875026,104.25206730664014
43,2014,1,2,19,30,0,0,0,0.6998800039291382,16.632684326171898,117.53381126587857
44,2014,1,2,20,30,0,0,0,0.9537015557289124,16.454980468750026,131.05561199208304
45,2014,1,2,21,30,0,0,0,1.1249313354492188,16.233972167968773,144.73546113873832
46,2014,1,2,22,30,0,0,0,1.2393949031829834,15.667260742187526,158.5133290203096
47,2014,1,2,23,30,0,0,0,1.3550872802734375,15.21013793945315,172.32661280398773
48,2014,1,3,0,30,0,0,0,1.468104124069214,15.134790039062526,173.7174916174755
49,2014,1,3,1,30,0,0,0,1.5407449007034302,15.257226562500026,159.90830596397137
50,2014,1,3,2,30,0,0,0,1.5660864114761353,15.2719665527344,146.12183800579575
51,2014,1,3,3,30,0,0,0,1.5809799432754517,15.06536254882815,132.4269650881843
52,2014,1,3,4,30,0,0,0,1.595949411392212,14.6903015136719,118.88220275943605
53,2014,1,3,5,30,0,0,0,1.6030722856521606,14.265222167968775,105.56638099732834
54,2014,1,3,6,30,0,0,0,1.5924727916717532,14.186730957031275,92.59632659502829
55,2014,1,3,7,30,138,43,556,1.5579061508178709,15.055322265625026,80.15516581217724
56,2014,1,3,8,30,357,60,813,1.4764620065689087,16.989495849609398,68.54800809462554
57,2014,1,3,9,30,551,69,916,1.3526959419250488,19.352532958984398,58.285516062828904
58,2014,1,3,10,30,693,74,965,1.1465308666229248,21.447747802734398,50.20990256553068
59,2014,1,3,11,30,769,77,987,0.8771343231201172,22.892053222656273,45.508276704396295
