,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,1.8988382816314695,10.383325195312525,178.07868060599213
1,2014,1,1,1,30,0,0,0,1.871955633163452,10.7318054199219,168.07424226981686
2,2014,1,1,2,30,0,0,0,1.8472520112991333,11.10234985351565,154.33791841964722
3,2014,1,1,3,30,0,0,0,1.7834041118621826,11.508447265625026,140.67140620056614
4,2014,1,1,4,30,0,0,0,1.671255588531494,11.967370605468775,127.1281128822542
5,2014,1,1,5,30,0,0,0,1.5241562128067017,12.39519653320315,113.77579120345185
6,2014,1,1,6,30,0,0,0,1.371619462966919,12.8804870605469,100.71070923365272
7,2014,1,1,7,30,2,2,0,1.2414841651916504,14.02898559570315,88.0758512941392
8,2014,1,1,8,30,33,33,0,1.0773247480392456,15.5189147949219,76.11060353204525
9,2014,1,1,9,30,106,106,0,0.7496242523193359,17.159326171875026,65.18938156928894
10,2014,1,1,10,30,160,159,1,0.5778357982635498,19.541802978515648,55.94194678204758
11,2014,1,1,11,30,252,240,18,0.7070971727371216,20.572076416015648,49.32861710483533
12,2014,1,1,12,30,269,256,19,0.8415160179138184,20.292291259765648,46.493608149325276
13,2014,1,1,13,30,353,307,68,0.9626439809799194,20.304620361328148,48.11189296213057
14,2014,1,1,14,30,335,275,101,1.1232482194900513,20.022546386718773,53.78197018403324
15,2014,1,1,15,30,162,161,2,1.3416495323181152,19.316552734375023,62.40551154949057
16,2014,1,1,16,30,208,100,368,1.549740433692932,17.984918212890648,72.93684964682399
17,2014,1,1,17,30,44,44,0,1.5955650806427002,16.517572021484398,84.65929933983213
18,2014,1,1,18,30,0,0,0,1.4099875688552856,15.618310546875026,97.13696267970123
19,2014,1,1,19,30,0,0,0,1.0844405889511108,15.12981567382815,110.10037926251341
20,2014,1,1,20,30,0,0,0,0.7111392021179199,14.787744140625026,123.3858519960978
21,2014,1,1,21,30,0,0,0,0.4914939999580383,14.559594726562526,136.8858915708003
22,2014,1,1,22,30,0,0,0,0.6178682446479797,14.403344726562526,150.52624032736978
23,2014,1,1,23,30,0,0,0,0.9384887218475342,14.2479187011719,164.2504374433267
24,2014,1,2,0,30,0,0,0,1.29618239402771,14.0532165527344,177.9514590890822
25,2014,1,2,1,30,0,0,0,1.7172126770019531,13.815270996093775,168.1738218643039
26,2014,1,2,2,30,0,0,0,2.158677339553833,13.579553222656275,154.4346178905032
27,2014,1,2,3,30,0,0,0,2.50892186164856,13.435571289062526,140.7630971555929
28,2014,1,2,4,30,0,0,0,2.7360594272613525,13.52947387695315,127.21360259772369
29,2014,1,2,5,30,0,0,0,2.936254978179932,13.82390747070315,113.8537352674846
30,2014,1,2,6,30,0,0,0,3.248295545578003,14.2646423339844,100.77929892503313
31,2014,1,2,7,30,6,6,0,3.703758716583252,15.09880981445315,88.13246828414461
32,2014,1,2,8,30,29,29,0,4.279795169830321,16.032647705078148,76.15154279459033
33,2014,1,2,9,30,48,48,0,4.986571788787842,16.430474853515648,65.20911522729179
34,2014,1,2,10,30,100,100,0,5.52707052230835,16.304864501953148,55.93303209614295
35,2014,1,2,11,30,126,126,0,5.7467780113220215,16.152947998046898,49.2832212082183
36,2014,1,2,12,30,174,172,2,5.764435291290282,16.322869873046898,46.4089778291599
37,2014,1,2,13,30,66,66,0,5.670732498168945,16.534143066406273,47.995858077759294
38,2014,1,2,14,30,72,72,0,5.61708402633667,16.562219238281273,53.64847743317382
39,2014,1,2,15,30,40,40,0,5.400856971740723,16.104852294921898,62.265740100202294
40,2014,1,2,16,30,25,25,0,4.9238152503967285,14.61663208007815,72.79687877955848
41,2014,1,2,17,30,2,2,0,4.586318016052246,12.651574707031275,84.52187752145711
42,2014,1,2,18,30,0,0,0,4.431441307067871,11.10650024414065,97.00312679883257
43,2014,1,2,19,30,0,0,0,4.2402896881103525,9.965783691406275,109.97053254295912
44,2014,1,2,20,30,0,0,0,4.055844783782959,8.9898620605469,123.26006866867417
45,2014,1,2,21,30,0,0,0,3.897202968597412,8.175744628906273,136.76410343695176
46,2014,1,2,22,30,0,0,0,3.744182109832764,7.548760986328148,150.4082147756809
47,2014,1,2,23,30,0,0,0,3.6111538410186768,7.098962402343773,164.13524448314303
48,2014,1,3,0,30,0,0,0,3.4946036338806152,6.782128906250023,177.8217290980983
49,2014,1,3,1,30,0,0,0,3.3617568016052246,6.819787597656273,168.27068565647218
50,2014,1,3,2,30,0,0,0,3.191920757293701,7.137353515625023,154.52884706988837
51,2014,1,3,3,30,0,0,0,3.018737316131592,7.355340576171898,140.85210381749528
52,2014,1,3,4,30,0,0,0,2.8313388824462886,7.500360107421898,127.29607644624005
53,2014,1,3,5,30,0,0,0,2.58447265625,7.601647949218773,113.92826092902901
54,2014,1,3,6,30,0,0,0,2.2861168384552,7.856011962890648,100.8440004274367
55,2014,1,3,7,30,14,11,109,1.897610068321228,9.058374023437525,88.18465322993569
56,2014,1,3,8,30,202,60,595,1.4237816333770752,10.973229980468775,76.18741422159219
57,2014,1,3,9,30,407,80,781,0.8240426182746887,13.31243286132815,65.22305862485152
58,2014,1,3,10,30,577,91,867,0.3364696204662323,15.463586425781275,55.917567501439045
59,2014,1,3,11,30,691,98,908,0.4607259035110474,16.637017822265648,49.23064548808689
60,2014,1,3,12,30,738,100,923,0.916661500930786,17.206811523437526,46.3170039859888
61,2014,1,3,13,30,607,228,564,1.2795259952545166,17.239007568359398,47.873047453103936
62,2014,1,3,14,30,285,256,48,1.6094316244125366,16.751641845703148,53.50932041811287
63,2014,1,3,15,30,466,83,818,1.9219872951507568,15.7248474121094,62.121532129644784
64,2014,1,3,16,30,271,65,690,2.1789464950561523,13.858056640625026,72.65356438851462
65,2014,1,3,17,30,78,42,363,2.377970933914185,11.8591247558594,84.382014049431
66,2014,1,3,18,30,0,0,0,2.4944627285003658,10.811547851562525,96.86758319039612
67,2014,1,3,19,30,0,0,0,2.559612274169922,10.33684692382815,109.8395775493418
68,2014,1,3,20,30,0,0,0,2.700180768966675,9.93206176757815,123.1336697683493
69,2014,1,3,21,30,0,0,0,2.9679768085479736,9.5842224121094,136.6420974072114
70,2014,1,3,22,30,0,0,0,3.2896952629089355,9.2632995605469,150.29025365901683
71,2014,1,3,23,30,0,0,0,3.550797462463379,8.914453125000025,164.0201280505649
72,2014,1,4,0,30,0,0,0,3.7374083995819087,8.542901611328148,177.68927399960705
73,2014,1,4,1,30,0,0,0,3.871071815490722,8.187341308593773,168.3645240217186
74,2014,1,4,2,30,0,0,0,3.981740713119507,7.901818847656273,154.62042154458518
75,2014,1,4,3,30,0,0,0,4.07407283782959,7.735803222656273,140.93828117514298
76,2014,1,4,4,30,0,0,0,4.1202945709228525,7.699029541015648,127.37541258500427
77,2014,1,4,5,30,0,0,0,4.149165630340576,7.785394287109398,113.99926451535065
78,2014,1,4,6,30,0,0,0,4.1794376373291025,8.179681396484398,100.904726952671
79,2014,1,4,7,30,14,11,108,4.0652198791503915,9.859460449218775,88.2323369815522
80,2014,1,4,8,30,203,59,601,3.882990837097168,13.08318481445315,76.21816757384525
81,2014,1,4,9,30,410,79,788,4.007352828979491,16.543023681640648,65.23118556487029
82,2014,1,4,10,30,581,91,875,4.127824306488037,19.164636230468773,55.89554648567622
