,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,0.8164288997650146,3.5696960449218977,171.89802668935485
1,2014,1,1,1,30,0,0,0,0.9103622436523438,4.058221435546899,174.05072157348957
2,2014,1,1,2,30,0,0,0,0.9273055195808412,4.412744140625024,160.47589457257968
3,2014,1,1,3,30,0,0,0,0.8797528743743896,4.572473144531274,146.84816267258503
4,2014,1,1,4,30,0,0,0,0.8071920871734619,4.632928466796899,133.31033690113716
5,2014,1,1,5,30,0,0,0,0.7298803329467773,4.732598876953149,119.93225542118448
6,2014,1,1,6,30,0,0,0,0.6322205066680908,4.827264404296899,106.80007139495486
7,2014,1,1,7,30,0,0,0,0.5120799541473389,5.218499755859399,94.0379407095307
8,2014,1,1,8,30,3,3,0,0.4463904500007629,6.334375000000023,81.83644408030459
9,2014,1,1,9,30,334,50,852,0.5762319564819336,7.968164062500023,70.50558682427375
10,2014,1,1,10,30,526,59,949,0.7963567972183228,9.898645019531275,60.547531300844156
11,2014,1,1,11,30,143,140,4,0.9481387734413148,11.35784301757815,52.757213669422654
12,2014,1,1,12,30,744,67,1015,1.0169072151184082,12.1000915527344,48.20548437774145
13,2014,1,1,13,30,502,352,224,0.9842349290847778,12.619592285156275,47.83025198790215
14,2014,1,1,14,30,523,289,378,0.8742551207542419,12.80571899414065,51.72288472470668
15,2014,1,1,15,30,413,230,354,0.6976932287216187,12.521203613281275,59.04259960880229
16,2014,1,1,16,30,368,52,871,0.4779354631900787,11.470300292968775,68.69764238092148
17,2014,1,1,17,30,154,36,667,0.26810213923454285,9.00310668945315,79.83832416370228
18,2014,1,1,18,30,0,0,0,0.2703390419483185,7.142602539062523,91.9188600654824
19,2014,1,1,19,30,0,0,0,0.5186538696289062,6.953820800781273,104.60284254461212
20,2014,1,1,20,30,0,0,0,0.7597082853317261,7.005883789062523,117.68389179428571
21,2014,1,1,21,30,0,0,0,0.89133620262146,7.152581787109398,131.02881406714656
22,2014,1,1,22,30,0,0,0,0.9527539014816284,6.930352783203148,144.5463350560034
23,2014,1,1,23,30,0,0,0,1.0063583850860596,6.275506591796898,158.16487036120682
24,2014,1,2,0,30,0,0,0,1.0568480491638184,5.885430908203148,171.77414601665322
25,2014,1,2,1,30,0,0,0,1.0790677070617676,5.853906250000023,174.1299007606243
26,2014,1,2,2,30,0,0,0,1.0732619762420654,5.875360107421898,160.5690695173787
27,2014,1,2,3,30,0,0,0,1.0698347091674805,5.824700927734398,146.9389236619514
28,2014,1,2,4,30,0,0,0,1.1432483196258545,5.575006103515649,133.39613923204175
29,2014,1,2,5,30,0,0,0,1.2681981325149536,5.283868408203149,120.0114803314769
30,2014,1,2,6,30,0,0,0,1.3814115524291992,5.029687500000024,106.87096882965652
31,2014,1,2,7,30,0,0,0,1.4718856811523438,4.872430419921899,94.09821432875
32,2014,1,2,8,30,118,32,609,1.591642141342163,5.151239013671899,81.88284593734994
33,2014,1,2,9,30,336,50,859,1.7648867368698118,6.276177978515648,70.53347176355946
34,2014,1,2,10,30,532,60,961,1.8943876028060915,7.939202880859398,60.550410434179895
35,2014,1,2,11,30,678,65,1012,1.9519647359848025,9.57586059570315,52.72733617794997
36,2014,1,2,12,30,759,68,1035,1.9543849229812624,11.01128540039065,48.1373436707681
37,2014,1,2,13,30,767,68,1038,1.923739671707153,11.9024597167969,47.726774651909544
38,2014,1,2,14,30,701,66,1022,1.873520374298096,12.12639770507815,51.59592398950535
39,2014,1,2,15,30,569,61,983,1.804615259170532,11.677453613281275,58.90483361819682
40,2014,1,2,16,30,381,52,899,1.6518354415893557,10.337731933593775,68.55718482649743
41,2014,1,2,17,30,162,37,700,1.5139006376266482,8.130334472656273,79.69917409290011
42,2014,1,2,18,30,0,0,0,1.5251166820526123,6.221643066406273,91.78271374891143
43,2014,1,2,19,30,0,0,0,1.558053731918335,5.131250000000024,104.47033396618133
44,2014,1,2,20,30,0,0,0,1.5641844272613523,4.244805908203149,117.55515905360248
45,2014,1,2,21,30,0,0,0,1.5551295280456543,3.3993164062500227,130.9037303950758
46,2014,1,2,22,30,0,0,0,1.506843328475952,2.5128112792968977,144.42448370983828
47,2014,1,2,23,30,0,0,0,1.4411383867263794,1.6075378417968975,158.04499709736083
48,2014,1,3,0,30,0,0,0,1.397746205329895,0.8439880371093977,171.64926789288054
49,2014,1,3,1,30,0,0,0,1.3581805229187012,0.4318176269531477,174.20342648390584
50,2014,1,3,2,30,0,0,0,1.235929250717163,0.4291625976562728,160.65934193780453
51,2014,1,3,3,30,0,0,0,1.0571007728576658,0.6098876953125227,147.02686638726328
52,2014,1,3,4,30,0,0,0,0.9240386486053468,0.8269592285156477,133.47890436938613
53,2014,1,3,5,30,0,0,0,0.8266035318374634,1.1115051269531475,120.08733190636869
54,2014,1,3,6,30,0,0,0,0.7413164973258972,1.4300170898437727,106.93807562307795
55,2014,1,3,7,30,0,0,0,0.6367439031600952,2.2592407226562727,94.1542017250472
56,2014,1,3,8,30,59,52,48,0.5200462937355042,4.376885986328149,81.92438600671761
57,2014,1,3,9,30,129,123,15,0.5609050989151001,8.298059082031273,70.55582434047335
58,2014,1,3,10,30,528,59,953,0.7965965270996094,11.559045410156275,60.54702128950568
59,2014,1,3,11,30,330,288,68,0.9767320156097412,12.66997680664065,52.690494068570395
60,2014,1,3,12,30,464,352,168,1.0615705251693726,13.020593261718775,48.06184250328093
61,2014,1,3,13,30,450,354,142,1.1493890285491943,12.724572753906275,47.616169896429824
62,2014,1,3,14,30,596,229,588,1.1843647956848145,12.049951171875026,51.46272710605618
63,2014,1,3,15,30,272,238,65,1.116602659225464,11.382714843750026,58.76202122394898
64,2014,1,3,16,30,378,52,884,0.9609382152557372,10.4216247558594,68.41282968280747
65,2014,1,3,17,30,162,37,691,0.8372370600700378,7.735162353515648,79.55710285061141
66,2014,1,3,18,30,0,0,0,0.8185718059539795,4.945275878906274,91.64443738782428
67,2014,1,3,19,30,0,0,0,0.8407928943634033,3.7038818359375223,104.3363403162762
68,2014,1,3,20,30,0,0,0,0.8660542964935303,2.8241821289062727,117.42546380537834
69,2014,1,3,21,30,0,0,0,0.9190446138381958,2.117242431640648,130.77809871042908
70,2014,1,3,22,30,0,0,0,1.018687725067139,1.6101928710937727,144.30237740966024
71,2014,1,3,23,30,0,0,0,1.1281044483184814,2.0884033203125227,157.92494040252203
72,2014,1,4,0,30,0,0,0,1.1304280757904053,3.223565673828148,171.52334160596303
73,2014,1,4,1,30,0,0,0,1.0754441022872925,3.7620788574218977,174.27069859754124
74,2014,1,4,2,30,0,0,0,1.1089484691619873,3.9188171386718977,160.74649310973464
75,2014,1,4,3,30,0,0,0,1.2020628452301023,4.401544189453149,147.1118322347792
76,2014,1,4,4,30,0,0,0,1.2763071060180664,4.966363525390649,133.55850206273135
77,2014,1,4,5,30,0,0,0,1.309675693511963,5.166375732421899,120.15969972925316
78,2014,1,4,6,30,0,0,0,1.3288638591766355,5.326318359375024,107.00129856153522
79,2014,1,4,7,30,0,0,0,1.3247277736663818,5.943780517578148,94.20582669915962
80,2014,1,4,8,30,120,32,629,1.482917070388794,7.325067138671898,81.9610105670709
81,2014,1,4,9,30,340,50,873,1.7776613235473633,8.98150024414065,70.57260068934714
82,2014,1,4,10,30,536,59,969,1.893097162246704,10.4782653808594,60.53733822033265
83,2014,1,4,11,30,497,289,344,1.9032623767852783,11.8359313964844,52.646687134137146
84,2014,1,4,12,30,608,283,486,1.9764649868011477,13.011193847656275,47.979003906385536
85,2014,1,4,13,30,588,310,411,2.063804149627685,13.772668457031275,47.49848428924602
86,2014,1,4,14,30,453,322,209,2.056482076644897,13.811486816406275,51.3233664955996
87,2014,1,4,15,30,397,245,291,1.9571275711059568,13.04668579101565,58.61425590671026
88,2014,1,4,16,30,255,161,252,1.7372838258743286,11.38445434570315,68.26468049676487
89,2014,1,4,17,30,69,67,11,1.442657709121704,9.2526794433594,79.41221897344863
90,2014,1,4,18,30,0,0,0,1.24639630317688,7.644891357421898,91.50413974786316
91,2014,1,4,19,30,0,0,0,1.1129958629608154,6.643334960937523,104.20096520358558
92,2014,1,4,20,30,0,0,0,1.0507285594940186,5.926477050781273,117.29490118977397
93,2014,1,4,21,30,0,0,0,1.0940718650817869,5.894036865234398,130.6520017681502
94,2014,1,4,22,30,0,0,0,1.141902208328247,6.242608642578148,144.1800799270012
95,2014,1,4,23,30,0,0,0,1.1961747407913208,6.339746093750023,157.80472937692713
96,2014,1,5,0,30,0,0,0,1.2277321815490725,6.034234619140648,171.3963059484606
97,2014,1,5,1,30,0,0,0,1.2511780261993408,5.705010986328148,174.33109072979798
98,2014,1,5,2,30,0,0,0,1.2905471324920654,5.870385742187523,160.83029837173373
99,2014,1,5,3,30,0,0,0,1.3210006952285769,6.181359863281273,147.19366098721162
100,2014,1,5,4,30,0,0,0,1.3363019227981567,6.263360595703148,133.63480233784642
101,2014,1,5,5,30,0,0,0,1.319129228591919,6.184564208984398,120.22847480563586
102,2014,1,5,6,30,0,0,0,1.2868990898132324,6.083398437500023,107.06054667435744
103,2014,1,5,7,30,0,0,0,1.2264845371246338,6.322290039062523,94.25301592358734
104,2014,1,5,8,30,19,19,0,1.2063053846359253,7.339685058593773,81.99264737358139
105,2014,1,5,9,30,207,145,188,1.1991801261901855,9.0731140136719,70.5837657561662
106,2014,1,5,10,30,335,237,198,1.1339777708053589,11.1492858886719,60.521354683445566
107,2014,1,5,11,30,448,308,230,1.048675298690796,13.010156250000026,52.59592856809277
108,2014,1,5,12,30,600,288,465,0.9580991864204408,14.35247192382815,47.88885903797525
109,2014,1,5,13,30,601,297,449,0.8900423049926758,14.9968200683594,47.37376861604167
110,2014,1,5,14,30,457,323,214,0.8163310289382935,14.878869628906275,51.17791608041508
111,2014,1,5,15,30,360,257,196,0.6850529313087463,14.234521484375026,58.46163171079913
112,2014,1,5,16,30,261,161,267,0.5476416945457458,12.85491333007815,68.11284427146579
113,2014,1,5,17,30,102,73,158,0.4571638703346253,10.302209472656275,79.26462848548074
114,2014,1,5,18,30,0,0,0,0.3853831589221953,8.366418457031273,91.36192944801913
115,2014,1,5,19,30,0,0,0,0.4172286987304688,7.802209472656273,104.06431112912684
116,2014,1,5,20,30,0,0,0,0.5940735340118408,7.287072753906273,117.16356426448077
117,2014,1,5,21,30,0,0,0,0.7514430284500122,6.777093505859398,130.52551917788216
118,2014,1,5,22,30,0,0,0,0.8142384886741638,6.296807861328148,144.05765057445151
119,2014,1,5,23,30,0,0,0,0.8224020004272461,5.779290771484398,157.6843866941982
120,2014,1,6,0,30,0,0,0,0.8013725876808167,5.267083740234399,171.26809025222704
121,2014,1,6,1,30,0,0,0,0.7629469633102417,4.793969726562524,174.38395665639442
122,2014,1,6,2,30,0,0,0,0.7342432737350464,4.321832275390649,160.9105276188344
123,2014,1,6,3,30,0,0,0,0.7673199772834778,3.9776550292968977,147.27219112748077
124,2014,1,6,4,30,0,0,0,0.8618061542510986,4.024682617187524,133.70767572547416
125,2014,1,6,5,30,0,0,0,0.953657865524292,4.204705810546899,120.29354974279896
126,2014,1,6,6,30,0,0,0,0.9951474070549012,4.133142089843774,107.11573137375088
127,2014,1,6,7,30,0,0,0,0.9816092252731324,3.970849609375023,94.29569904660863
128,2014,1,6,8,30,3,3,0,1.0012547969818115,4.274896240234399,82.0192413331765
129,2014,1,6,9,30,12,12,0,1.0956705808639526,5.354516601562524,70.58928454563284
130,2014,1,6,10,30,92,92,0,1.1424753665924072,6.905053710937523,60.49905614962461
131,2014,1,6,11,30,337,292,73,1.0548357963562012,8.430963134765648,52.53822638742454
132,2014,1,6,12,30,747,67,1013,0.8765793442726135,9.924768066406275,47.791436706094494
133,2014,1,6,13,30,757,67,1015,0.6968478560447693,10.785974121093775,47.24207379808609
134,2014,1,6,14,30,148,144,5,0.5228750109672546,10.6793151855469,51.02645162937178
135,2014,1,6,15,30,216,203,23,0.4184613823890686,10.1238952636719,58.30424396419735
136,2014,1,6,16,30,113,113,0,0.5727129578590393,8.9309020996094,67.95742442154747
137,2014,1,6,17,30,128,63,342,0.8398181200027466,7.333551025390648,79.11443606398812
138,2014,1,6,18,30,0,0,0,0.9933513402938844,5.925714111328148,91.21791484472428
139,2014,1,6,19,30,0,0,0,1.046731948852539,4.752526855468774,103.92647938041011
140,2014,1,6,20,30,0,0,0,1.024088740348816,3.7072387695312727,117.03154392095877
141,2014,1,6,21,30,0,0,0,0.9575991034507751,2.8142333984375227,130.39872735768705
142,2014,1,6,22,30,0,0,0,0.8972009420394897,2.0379882812500227,143.9351442262524
143,2014,1,6,23,30,0,0,0,0.8643689155578613,1.3723083496093975,157.56392877723238
144,2014,1,7,0,30,0,0,0,0.8582539558410645,0.8587890625000227,171.13861537924626
145,2014,1,7,1,30,0,0,0,0.8810925483703613,0.5193115234375227,174.42863822935283
146,2014,1,7,2,30,0,0,0,0.8966597318649292,0.36144409179689774,160.98694585655096
147,2014,1,7,3,30,0,0,0,0.8900652527809143,0.3678527832031477,147.3472601580855
148,2014,1,7,4,30,0,0,0,0.8771035075187683,0.4509826660156477,133.77699349501137
149,2014,1,7,5,30,0,0,0,0.8666749000549316,0.7486816406250227,120.35481892982357
150,2014,1,7,6,30,0,0,0,0.8270975947380066,1.3278747558593975,107.16676659268177
151,2014,1,7,7,30,0,0,0,0.7522964477539062,2.4169555664062727,94.33380879297228
152,2014,1,7,8,30,63,52,77,0.7144894003868103,4.302270507812524,82.04076761130112
