,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,0.8114803433418274,7.132806396484398,176.7993671514422
1,2014,1,1,1,30,0,0,0,0.5878322124481201,6.981469726562523,168.43453778042996
2,2014,1,1,2,30,0,0,0,0.3942254185676575,6.797540283203148,154.65795494287534
3,2014,1,1,3,30,0,0,0,0.39003562927246094,6.602227783203148,140.87981736706902
4,2014,1,1,4,30,0,0,0,0.6443610191345215,6.459832763671898,127.1980836528264
5,2014,1,1,5,30,0,0,0,1.0063542127609253,6.426873779296898,113.68281453374985
6,2014,1,1,6,30,0,0,0,1.3251688480377195,6.623284912109398,100.42461553345724
7,2014,1,1,7,30,3,3,0,1.5646606683731081,7.499200439453148,87.55663227764916
8,2014,1,1,8,30,96,91,18,1.643618106842041,9.39653930664065,75.3027194362829
9,2014,1,1,9,30,201,182,43,1.5198655128479004,12.271936035156275,64.02232302257659
10,2014,1,1,10,30,315,272,73,1.294093370437622,15.217492675781275,54.33947504180625
11,2014,1,1,11,30,520,342,262,1.1319074630737305,17.465051269531273,47.256405483140256
12,2014,1,1,12,30,561,366,271,1.1295950412750244,19.026544189453148,44.051902942540615
13,2014,1,1,13,30,504,361,204,1.1735563278198242,19.600396728515648,45.55446205623133
14,2014,1,1,14,30,269,252,27,1.1526105403900146,19.177514648437523,51.35173247477252
15,2014,1,1,15,30,285,231,110,1.154338836669922,18.190270996093773,60.21251932871148
16,2014,1,1,16,30,57,57,0,1.345336675643921,16.561578369140648,70.99375597497085
17,2014,1,1,17,30,64,53,81,1.476299524307251,14.4377380371094,82.94288353440416
18,2014,1,1,18,30,0,0,0,1.2652966976165771,12.835412597656275,95.61710684839451
19,2014,1,1,19,30,0,0,0,0.9840979576110841,11.9719177246094,108.7513629027377
20,2014,1,1,20,30,0,0,0,0.9058620929718018,11.6061950683594,122.18655264600851
21,2014,1,1,21,30,0,0,0,0.9257418513298036,11.628076171875026,135.81884402229196
22,2014,1,1,22,30,0,0,0,0.8945926427841187,11.70647583007815,149.5738551710899
23,2014,1,1,23,30,0,0,0,0.8150432109832764,11.746362304687526,163.37890956883302
24,2014,1,2,0,30,0,0,0,0.7236271500587463,11.832604980468775,176.7644808682191
25,2014,1,2,1,30,0,0,0,0.6667766571044922,11.820886230468775,168.5524690317865
26,2014,1,2,2,30,0,0,0,0.6921842098236084,11.592919921875026,154.76430162012082
27,2014,1,2,3,30,0,0,0,0.7779659032821655,11.2769714355469,140.978573986172
28,2014,1,2,4,30,0,0,0,0.8456491231918335,10.8867126464844,127.28954388928786
29,2014,1,2,5,30,0,0,0,0.8480976819992065,10.424157714843775,113.76625659337415
30,2014,1,2,6,30,0,0,0,0.8032840490341187,10.412561035156275,100.49858344204834
31,2014,1,2,7,30,4,4,0,0.91688072681427,12.394067382812526,87.61875285485311
