,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,0.4247580766677856,12.252038574218775,174.75499128642497
1,2014,1,1,1,30,0,0,0,0.453975260257721,12.302026367187526,161.0913236162504
2,2014,1,1,2,30,0,0,0,0.4577679634094238,12.2471862792969,147.4212567299553
3,2014,1,1,3,30,0,0,0,0.4487655758857727,12.112695312500026,133.84401231707778
4,2014,1,1,4,30,0,0,0,0.43270671367645264,11.9861999511719,120.42304410645235
5,2014,1,1,5,30,0,0,0,0.4158068001270294,11.8702331542969,107.2407672556143
6,2014,1,1,6,30,0,0,0,0.4028113484382629,11.864465332031275,94.41715058027815
7,2014,1,1,7,30,103,36,493,0.3872143626213074,12.2172790527344,82.13683026087776
8,2014,1,1,8,30,107,107,0,0.3344455063343048,13.0175720214844,70.70173584548874
9,2014,1,1,9,30,131,131,0,0.2605961561203003,14.0906921386719,60.60296172601126
10,2014,1,1,10,30,259,243,27,0.24525025486946106,14.964929199218775,52.627223146132934
11,2014,1,1,11,30,718,82,948,0.28487586975097656,15.496301269531275,47.856237576680726
12,2014,1,1,12,30,728,82,951,0.3246039152145386,15.8985534667969,47.27476092589074
13,2014,1,1,13,30,667,80,933,0.3398677110671997,16.256097412109398,51.02676252896627
14,2014,1,1,14,30,541,73,888,0.315487802028656,16.314752197265648,58.27877363212667
15,2014,1,1,15,30,269,152,311,0.23845814168453214,15.810205078125026,67.9140109394114
16,2014,1,1,16,30,125,63,324,0.17439129948616028,14.68535766601565,79.05925365211006
17,2014,1,1,17,30,0,0,0,0.22386659681797028,13.380029296875026,91.15547476785885
18,2014,1,1,18,30,0,0,0,0.30410927534103394,12.9459167480469,103.8600624525328
19,2014,1,1,19,30,0,0,0,0.30595895648002625,12.977929687500026,116.96415099842794
20,2014,1,1,20,30,0,0,0,0.2931894958019257,12.609338378906275,130.3339522408433
21,2014,1,1,21,30,0,0,0,0.30409711599349976,12.062341308593775,143.8791190920013
22,2014,1,1,22,30,0,0,0,0.3149829208850861,11.500390625000026,157.5325233574901
23,2014,1,1,23,30,0,0,0,0.3427037596702576,10.92327270507815,171.2192815989221
24,2014,1,2,0,30,0,0,0,0.3891971707344055,10.373376464843775,174.84091530129433
25,2014,1,2,1,30,0,0,0,0.4150365591049193,9.8959899902344,161.18709418903768
26,2014,1,2,2,30,0,0,0,0.4201505780220032,9.510461425781275,147.51380034477552
27,2014,1,2,3,30,0,0,0,0.4291814565658569,9.245751953125025,133.93131044169243
28,2014,1,2,4,30,0,0,0,0.4425843358039856,9.134362792968775,120.50366728206863
29,2014,1,2,5,30,0,0,0,0.4594633281230927,9.1763854980469,107.31307184316287
30,2014,1,2,6,30,0,0,0,0.4812601804733277,9.689843750000025,94.47892321085979
31,2014,1,2,7,30,105,36,506,0.5182824730873108,11.3955017089844,82.18490476473497
32,2014,1,2,8,30,314,59,773,0.5749756097793579,14.065270996093775,70.7315391345951
33,2014,1,2,9,30,505,72,883,0.6394186019897461,16.628289794921898,60.608030016091696
34,2014,1,2,10,30,648,79,937,0.6838866472244263,18.462640380859398,52.599669067557876
35,2014,1,2,11,30,729,82,962,0.6869881749153137,19.618157958984398,47.790123430285384
36,2014,1,2,12,30,739,82,965,0.6596993207931519,20.267266845703148,47.172531586785496
37,2014,1,2,13,30,677,80,947,0.5836532115936279,20.497491455078148,50.90028848011126
38,2014,1,2,14,30,550,74,902,0.41686177253723145,20.318811035156273,58.14110899794676
39,2014,1,2,15,30,370,63,811,0.21735559403896326,19.468072509765648,67.77355978020137
40,2014,1,2,16,30,161,44,608,0.19888679683208466,17.548944091796898,78.92014591547238
41,2014,1,2,17,30,0,0,0,0.3607997894287109,15.5510192871094,91.01944130433701
42,2014,1,2,18,30,0,0,0,0.44760462641716,14.50359497070315,103.72777275307007
43,2014,1,2,19,30,0,0,0,0.4627225399017334,13.65288696289065,116.83577423645956
