,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,0.6201561689376831,8.444299316406273,172.84170513916786
1,1,2014,1,1,1,30,0,0,0,0.7190421223640442,7.947717285156273,163.58924783371745
2,2,2014,1,1,2,30,0,0,0,1.0256462097167969,7.494409179687523,150.96106607654843
3,3,2014,1,1,3,30,0,0,0,1.4285368919372559,7.094018554687523,137.9940518123119
4,4,2014,1,1,4,30,0,0,0,1.8201837539672847,6.732995605468773,125.06805482247496
5,5,2014,1,1,5,30,0,0,0,2.121912002563477,6.382653808593773,112.34512743042671
6,6,2014,1,1,6,30,0,0,0,2.315845489501953,6.469323730468773,99.97489518694445
7,7,2014,1,1,7,30,24,14,314,2.4198544025421143,8.749383544921898,88.14856386997391
8,8,2014,1,1,8,30,209,40,760,2.2435402870178223,12.500543212890651,77.1576210992103
9,9,2014,1,1,9,30,399,52,905,1.7886378765106201,16.517602539062526,67.4281697846292
10,10,2014,1,1,10,30,551,58,973,1.4869928359985352,20.375177001953148,59.6027863679127
11,11,2014,1,1,11,30,645,62,1005,1.452847242355347,22.671563720703148,54.521350531220854
12,12,2014,1,1,12,30,673,62,1014,1.4812158346176147,23.667718505859398,52.987025351058406
13,13,2014,1,1,13,30,632,61,1002,1.4204460382461548,23.807061767578148,55.29794893290997
14,14,2014,1,1,14,30,526,57,966,1.2714645862579346,23.06945190429689,61.01607598631411
15,15,2014,1,1,15,30,364,50,890,1.1174094676971436,21.033990478515648,69.29643588591189
16,16,2014,1,1,16,30,169,36,714,1.0133650302886963,17.706201171875023,79.33058298377706
17,17,2014,1,1,17,30,0,0,0,1.0360350608825684,15.228082275390651,90.52005156702093
18,18,2014,1,1,18,30,0,0,0,1.1988751888275146,14.176599121093776,102.48108331568001
19,19,2014,1,1,19,30,0,0,0,1.5180705785751345,13.279595947265651,114.93803087191802
20,20,2014,1,1,20,30,0,0,0,1.9424400329589844,12.458062744140651,127.7143320143445
21,21,2014,1,1,21,30,0,0,0,2.362351179122925,11.708520507812526,140.66288613309302
22,22,2014,1,1,22,30,0,0,0,2.7638068199157715,11.006341552734401,153.60307086982996
23,23,2014,1,1,23,30,0,0,0,3.1354737281799316,10.3350769042969,166.0030022686659
24,24,2014,1,2,0,30,0,0,0,3.4363720417022705,9.651879882812525,172.77714849198128
25,25,2014,1,2,1,30,0,0,0,3.691312789916992,8.986657714843775,163.64136388864773
26,26,2014,1,2,2,30,0,0,0,3.903758049011232,8.397302246093773,151.03062608256354
27,27,2014,1,2,3,30,0,0,0,4.054145812988281,7.943902587890648,138.06535409384023
28,28,2014,1,2,4,30,0,0,0,4.179584503173828,7.683007812500023,125.13601412157007
29,29,2014,1,2,5,30,0,0,0,4.281336307525635,7.506188964843773,112.40668703134466
30,30,2014,1,2,6,30,0,0,0,4.335886955261231,7.605950927734398,100.02724931721336
31,31,2014,1,2,7,30,24,13,317,4.159783840179443,9.2974792480469,88.18842436979752
32,32,2014,1,2,8,30,211,40,768,3.664992332458496,12.843743896484401,77.18082823936585
33,33,2014,1,2,9,30,403,52,914,3.2523269653320312,17.257470703125026,67.42929014653555
34,34,2014,1,2,10,30,554,58,979,2.945206880569458,21.293298339843773,59.575599046456794
35,35,2014,1,2,11,30,648,62,1008,2.510974884033203,23.901025390625023,54.46098004921837
36,36,2014,1,2,12,30,675,63,1015,2.093488931655884,25.221856689453148,52.893919983541615
