,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,1.164743185043335,4.548028564453149,171.36415659166963
1,1,2014,1,1,1,30,0,0,0,1.264621019363403,3.565728759765648,173.30455019661403
2,2,2014,1,1,2,30,0,0,0,1.3910859823226929,2.9249206542968977,160.37737560740862
3,3,2014,1,1,3,30,0,0,0,1.5028388500213623,2.4325805664062727,146.96985078709332
4,4,2014,1,1,4,30,0,0,0,1.6192369461059568,2.012750244140648,133.59877587293016
5,5,2014,1,1,5,30,0,0,0,1.7719638347625732,1.6479125976562727,120.37877727318552
6,6,2014,1,1,6,30,0,0,0,1.9730207920074463,1.3406005859375227,107.41164909969008
7,7,2014,1,1,7,30,0,0,0,2.1871607303619385,2.2789245605468977,94.83147522717243
8,8,2014,1,1,8,30,103,28,602,2.15059494972229,5.035913085937524,82.83713193885865
9,9,2014,1,1,9,30,316,46,863,1.8303000926971442,9.044763183593775,71.74532811383972
10,10,2014,1,1,10,30,509,55,968,1.6146724224090576,13.240655517578151,62.0551392580585
11,11,2014,1,1,11,30,652,60,1019,1.5278260707855225,16.199700927734398,54.5323838080501
12,12,2014,1,1,12,30,730,63,1041,1.4442665576934814,17.933831787109398,50.170819010071604
13,13,2014,1,1,13,30,737,63,1044,1.429534673690796,18.695611572265648,49.812502927933465
14,14,2014,1,1,14,30,672,61,1029,1.5353659391403198,18.475732421875023,53.53828428540187
15,15,2014,1,1,15,30,541,56,988,1.7744817733764648,17.347680664062526,60.596483977831056
16,16,2014,1,1,16,30,357,48,901,2.1763315200805664,14.999871826171901,69.98031212432889
17,17,2014,1,1,17,30,142,33,691,2.644871711730957,11.671990966796901,80.87621674629726
18,18,2014,1,1,18,30,0,0,0,2.8354361057281494,9.240747070312525,92.74423789182863
19,19,2014,1,1,19,30,0,0,0,2.6502890586853027,8.048730468750023,105.2421935895267
20,20,2014,1,1,20,30,0,0,0,2.2021963596343994,7.085198974609398,118.15549190649445
21,21,2014,1,1,21,30,0,0,0,1.5960634946823118,6.278985595703148,131.3412552090624
