,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,2014,1,1,0,30,0,0,0,1.1158262491226196,10.753869628906275,173.00273829957698
1,2014,1,1,1,30,0,0,0,1.105302095413208,10.59368286132815,172.7952965684089
2,2014,1,1,2,30,0,0,0,1.055558443069458,10.3542419433594,159.04102106572938
3,2014,1,1,3,30,0,0,0,0.9751555919647216,9.831262207031275,145.2566436456497
4,2014,1,1,4,30,0,0,0,0.9199496507644652,9.08892211914065,131.5570363517657
5,2014,1,1,5,30,0,0,0,0.8832578659057617,8.416467285156273,118.00665520233886
6,2014,1,1,6,30,0,0,0,0.8422794342041016,8.221765136718773,104.68676810504331
7,2014,1,1,7,30,0,0,0,0.7663983106613159,9.986596679687525,91.71669813854211
8,2014,1,1,8,30,63,62,6,0.6432643532752991,13.163720703125026,79.28380671466789
9,2014,1,1,9,30,190,163,72,0.5842422842979431,15.1353698730469,67.70119436607014
10,2014,1,1,10,30,291,249,78,0.6167839765548706,16.677087402343773,57.49549264036066
11,2014,1,1,11,30,359,311,74,0.6520543694496155,18.285241699218773,49.53588603889769
12,2014,1,1,12,30,603,334,380,0.6982249021530151,19.363641357421894,45.036897845684784
13,2014,1,1,13,30,565,351,303,0.7607482671737671,19.967828369140648,45.05118285148068
14,2014,1,1,14,30,572,260,481,0.8009351491928101,19.622888183593773,49.5749551682031
15,2014,1,1,15,30,310,253,105,0.7837357521057129,18.667108154296894,57.55192241086567
16,2014,1,1,16,30,244,163,214,0.6872936487197876,17.272424316406273,67.7688910134319
17,2014,1,1,17,30,71,71,0,0.5601020455360413,14.8066345214844,79.35903316744836
18,2014,1,1,18,30,0,0,0,0.4316268861293793,12.60491333007815,91.79741879730572
19,2014,1,1,19,30,0,0,0,0.3303267955780029,11.62432250976565,104.7719440931324
20,2014,1,1,20,30,0,0,0,0.3439368009567261,10.969567871093775,118.0958624372733
21,2014,1,1,21,30,0,0,0,0.4539126753807068,10.52288208007815,131.65028013057372
22,2014,1,1,22,30,0,0,0,0.5820717811584473,10.2341247558594,145.35437949477569
23,2014,1,1,23,30,0,0,0,0.6965109705924988,10.07854614257815,159.1446806786237
24,2014,1,2,0,30,0,0,0,0.7894089221954346,10.0239196777344,172.9126482020753
25,2014,1,2,1,30,0,0,0,0.8579308986663818,10.0117126464844,172.91680892721826
26,2014,1,2,2,30,0,0,0,0.9008513689041138,9.946679687500025,159.1481458274937
