,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,1.922229170799256,16.252526855468773,172.92847086072535
1,1,2014,1,1,1,30,0,0,0,2.058345317840576,16.076287841796898,165.68345237138027
2,2,2014,1,1,2,30,0,0,0,2.3388094902038574,15.880822753906276,153.2285345691647
3,3,2014,1,1,3,30,0,0,0,2.620779037475586,15.691461181640651,140.27954633508855
4,4,2014,1,1,4,30,0,0,0,2.7765166759490967,15.596032714843776,127.33283362507298
5,5,2014,1,1,5,30,0,0,0,2.789568424224853,15.612695312500026,114.56384655156711
6,6,2014,1,1,6,30,0,0,0,2.7221412658691406,15.699365234375026,102.11923935628329
7,7,2014,1,1,7,30,0,0,0,2.693108558654785,15.816217041015651,90.176931449771
8,8,2014,1,1,8,30,166,43,647,2.5993022918701167,16.412133789062526,79.01552564398241
9,9,2014,1,1,9,30,357,60,830,2.4559237957000732,18.468072509765648,69.02374759253085
10,10,2014,1,1,10,30,515,69,913,2.5462491512298584,21.247247314453148,60.806493704300784
11,11,2014,1,1,11,30,618,74,952,2.7620201110839844,23.215478515625023,55.17721111975099
12,12,2014,1,1,12,30,657,76,965,2.9218711853027344,24.195764160156273,52.97623997948847
13,13,2014,1,1,13,30,628,75,956,3.11049222946167,24.334985351562523,54.622620046311425
14,14,2014,1,1,14,30,534,70,921,3.3991646766662598,23.69103393554689,59.79748161308821
15,15,2014,1,1,15,30,384,62,848,3.699125051498413,22.202447509765648,67.69040903536767
16,16,2014,1,1,16,30,196,46,688,3.975052833557129,19.827966308593773,77.46546782703325
17,17,2014,1,1,17,30,18,13,208,4.208150863647462,17.990686035156273,88.4863610421917
18,18,2014,1,1,18,30,0,0,0,4.321825027465819,17.244104003906273,100.33336748909971
19,19,2014,1,1,19,30,0,0,0,4.296860694885254,16.815911865234398,112.71700614761494
