,Unnamed: 0,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
0,0,2014,1,1,0,30,0,0,0,2.207779884338379,5.219628906250024,172.14961120817074
1,1,2014,1,1,1,30,0,0,0,2.1724004745483403,4.837670898437524,170.99685373612434
2,2,2014,1,1,2,30,0,0,0,2.138817310333252,4.477777099609399,158.42871945348205
3,3,2014,1,1,3,30,0,0,0,2.06010103225708,4.125939941406274,145.2249761904529
4,4,2014,1,1,4,30,0,0,0,1.9753835201263428,3.788018798828148,132.01924329368842
5,5,2014,1,1,5,30,0,0,0,1.9533815383911133,3.4659667968750227,118.9637948708618
6,6,2014,1,1,6,30,0,0,0,2.0237276554107666,3.1819091796875227,106.17860006438605
7,7,2014,1,1,7,30,0,0,0,2.190470695495605,4.120233154296899,93.8134526524017
8,8,2014,1,1,8,30,111,38,525,2.2526588439941406,6.935662841796898,82.08593081866333
9,9,2014,1,1,9,30,318,53,826,2.382389068603516,10.866418457031276,71.33658833943161
10,10,2014,1,1,10,30,500,62,937,2.7064597606658936,14.531365966796901,62.09097889052984
11,11,2014,1,1,11,30,632,66,988,2.947315692901612,16.998132324218773,55.125480852401935
12,12,2014,1,1,12,30,699,68,1011,3.045201539993286,18.529046630859398,51.385338263329494
13,13,2014,1,1,13,30,697,67,1013,2.978912830352783,19.228326416015648,51.58145193222429
14,14,2014,1,1,14,30,625,64,995,2.8096637725830083,19.164544677734398,55.67211473631485
15,15,2014,1,1,15,30,491,56,952,2.685800552368164,18.30187377929689,62.898206050313284
16,16,2014,1,1,16,30,308,43,870,2.561686992645264,16.188348388671898,72.31909867742809
17,17,2014,1,1,17,30,109,28,683,2.509908676147461,13.595086669921901,83.18261928913935
18,18,2014,1,1,18,30,0,0,0,2.6683757305145264,12.054620361328151,94.98507662567582
19,19,2014,1,1,19,30,0,0,0,2.89754605293274,11.237695312500025,107.39977616880863
20,20,2014,1,1,20,30,0,0,0,3.0492608547210693,10.411096191406275,120.21767867828163
21,21,2014,1,1,21,30,0,0,0,3.1097869873046875,9.573876953125025,133.29319468745112
22,22,2014,1,1,22,30,0,0,0,3.16987419128418,8.769708251953148,146.5060670374817
23,23,2014,1,1,23,30,0,0,0,3.1904971599578857,8.012841796875023,159.6895587830881
24,24,2014,1,2,0,30,0,0,0,3.126326560974121,7.294549560546898,172.01186743670732
25,25,2014,1,2,1,30,0,0,0,3.1133246421813965,6.587518310546898,171.03341508392705
26,26,2014,1,2,2,30,0,0,0,3.4185609817504883,5.913934326171898,158.50346814850457
27,27,2014,1,2,3,30,0,0,0,4.016248226165772,5.230523681640649,145.30342739660682
28,28,2014,1,2,4,30,0,0,0,4.49077033996582,4.343927001953149,132.09508200792084
29,29,2014,1,2,5,30,0,0,0,4.577981948852539,3.1973510742187727,119.03405749785654
30,30,2014,1,2,6,30,0,0,0,4.338611125946045,1.9980712890625227,106.24084989798416
31,31,2014,1,2,7,30,0,0,0,3.896061420440674,1.9538513183593973,93.86494843007915
32,32,2014,1,2,8,30,112,39,534,3.376114845275879,4.102746582031274,82.1231167454338
33,33,2014,1,2,9,30,322,54,837,3.0181725025177,7.570611572265648,71.3546760709291
34,34,2014,1,2,10,30,506,62,947,3.028393268585205,11.194116210937525,62.08376618097647
35,35,2014,1,2,11,30,638,67,999,3.125270366668701,14.119622802734401,55.0863559665789
36,36,2014,1,2,12,30,707,68,1020,3.095695972442627,15.883538818359401,51.31074247618442
37,37,2014,1,2,13,30,705,68,1022,3.1004223823547363,16.657739257812526,51.47533414757636
38,38,2014,1,2,14,30,633,64,1005,3.150710105895996,16.545678710937526,55.54502824820819
39,39,2014,1,2,15,30,498,57,964,3.276911735534668,15.541955566406276,62.76091692496264
40,40,2014,1,2,16,30,315,44,885,3.4836621284484863,13.381860351562526,72.17870572270142
41,41,2014,1,2,17,30,114,28,706,3.8006982803344727,10.518090820312525,83.0428271263517
